"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez","gene_id_clean","gene_name","gene_biotype","gene_length","exon_count","total_exon_length","gene_symbol"
"ENSMUSG00000045210.9",2.86592848090455,-0.963647483581213,1.49422118287623,-0.644916224334529,0.518981477104461,0.988826385316248,"Vcpip1",70675,"ENSMUSG00000045210","Vcpip1","protein_coding",29761,3,9749,"Vcpip1"
"ENSMUSG00000067851.12",3.10736121903827,-1.12725549675032,1.46337820514947,-0.770310431564189,0.441115769947329,0.988826385316248,"Arfgef1",211673,"ENSMUSG00000067851","Arfgef1","protein_coding",95100,74,17655,"Arfgef1"
"ENSMUSG00000043716.14",8.82801151775289,-0.35525480699564,0.792508639961466,-0.44826616276753,0.653961117933506,0.988826385316248,"Rpl7",19989,"ENSMUSG00000043716","Rpl7","protein_coding",3368,26,6032,"Rpl7"
"ENSMUSG00000048874.16",2.85376456074461,-0.966003306650309,1.5106986722003,-0.639441421659122,0.522535809765342,0.988826385316248,"Phf3",213109,"ENSMUSG00000048874","Phf3","protein_coding",71583,68,30932,"Phf3"
"ENSMUSG00000026131.22",5.96280731288528,-0.792547040723093,0.999333724066024,-0.793075447807795,0.427733866507408,0.988826385316248,"Dst",13518,"ENSMUSG00000026131","Dst","protein_coding",400437,579,137014,"Dst"
"ENSMUSG00000026074.16",5.26687560885424,0.305893192339392,1.14179191770662,0.267906251214146,0.788771481767527,0.988826385316248,"Map4k4",26921,"ENSMUSG00000026074","Map4k4","protein_coding",125398,260,39156,"Map4k4"
"ENSMUSG00000041763.15",3.10736121903827,-1.12725549675032,1.46337820514947,-0.770310431564189,0.441115769947329,0.988826385316248,"Tpp2",22019,"ENSMUSG00000041763","Tpp2","protein_coding",69354,139,26050,"Tpp2"
"ENSMUSG00000025982.14",5.04626010389663,0.451188682041445,1.09364773560002,0.412553939769192,0.679933453561796,0.988826385316248,"Sf3b1",81898,"ENSMUSG00000025982","Sf3b1","protein_coding",42313,57,19280,"Sf3b1"
"ENSMUSG00000025980.15",5.0307331175319,-0.100050464553592,1.08003074093562,-0.0926366822363957,0.926192200824139,0.988826385316248,"Hspd1",15510,"ENSMUSG00000025980","Hspd1","protein_coding",10409,20,3814,"Hspd1"
"ENSMUSG00000051223.15",3.3255214804828,-0.813304152094561,1.38017024796325,-0.58927813673333,0.555674708728251,0.988826385316248,"Bzw1",66882,"ENSMUSG00000051223","Bzw1","protein_coding",14456,42,7846,"Bzw1"
"ENSMUSG00000026020.10",2.63608292783281,-0.222768770527661,1.42146677987052,-0.156717535493831,0.875467466526927,0.988826385316248,"Nop58",55989,"ENSMUSG00000026020","Nop58","protein_coding",34074,96,19398,"Nop58"
"ENSMUSG00000025967.17",3.11072428524306,-0.183534019082071,1.40372180407191,-0.130748142936639,0.895974546652392,0.988826385316248,"Eef1b2",55949,"ENSMUSG00000025967","Eef1b2","protein_coding",3662,42,7240,"Eef1b2"
